"","res","True"
"250",32600.0508474576,32690
"251",32600.0508474576,21999
"252",32600.0508474576,36490
"253",32600.0508474576,48500
"254",84520.3636363636,59990
"255",32600.0508474576,27499
"256",32600.0508474576,36392
"257",68827.71875,77000
"258",14534.5,12999
"259",32600.0508474576,29990
"260",42910.6,47280
"261",32600.0508474576,24990
"262",14534.5,11999
"263",14534.5,14999
"264",32600.0508474576,34590
"265",42910.6,45490
"266",32600.0508474576,30489
"267",68827.71875,69960
"268",32600.0508474576,27299
"269",32600.0508474576,31990
"270",48183.3529411765,30610
"271",68827.71875,61990
"272",68827.71875,38990
"273",84520.3636363636,114990
"274",32600.0508474576,20299
"275",54644.6428571429,59000
"276",32600.0508474576,41750
"277",89369.75,109599
"278",89369.75,154999
"279",32600.0508474576,41000
"280",68827.71875,59077
"281",68827.71875,42199
"282",32600.0508474576,94150
"283",48183.3529411765,34990
"284",106266.307692308,78990
"285",89369.75,104698
"286",68827.71875,78790
"287",68827.71875,87500
"288",106266.307692308,119990
"289",68827.71875,79990
"290",89369.75,205000
"291",89369.75,165000
"292",68827.71875,59989
"293",42910.6,76990
"294",68827.71875,61500
"295",32600.0508474576,48990
"296",42910.6,69990
"297",14534.5,14999
"298",68827.71875,70499
"299",54644.6428571429,79700
"300",89369.75,84990
"301",89369.75,72990
"302",42910.6,36900
"303",48183.3529411765,54990
"304",68827.71875,59990
"305",68827.71875,56999
"306",32600.0508474576,23140
"307",84520.3636363636,67900
"308",14534.5,24490
"309",32600.0508474576,38999
"310",32600.0508474576,31000
"311",84520.3636363636,79990
"312",68827.71875,64990
